log_id,municipality_code,citizen_id,category,action_type,target_age_group,action_date,frequency_score,recency_days,engagement_value
L00026,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-11-26,5,6,8.1
L00027,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-12-18,5,6,7.0
L00028,073229,C0002,育児,子育て相談,30代子育て層,2024-12-15,5,6,6.9
L00029,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-09-05,5,6,7.7
L00030,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-11-30,5,6,6.8
L00031,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-10-04,5,6,6.2
L00032,073229,C0002,育児,保育所申込(窓口),30代子育て層,2024-11-11,5,6,7.0
L00033,073229,C0002,育児,子育て相談,30代子育て層,2024-08-01,5,6,6.0
L00034,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-12-25,5,6,6.8
L00035,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-10-09,5,6,7.3
L00036,073229,C0002,育児,子育て施設チェックイン,30代子育て層,2024-09-06,5,6,8.4
L00037,073229,C0002,育児,子育て相談,30代子育て層,2024-07-06,5,6,7.5
L00038,073229,C0002,教育,学習支援参加,30代子育て層,2024-09-10,3,26,4.3
L00039,073229,C0003,育児,保育所申込(窓口),30代子育て層,2024-09-09,5,1,8.4
L00040,073229,C0003,育児,子育て相談,30代子育て層,2024-11-10,5,1,8.2
L00041,073229,C0003,育児,子育て相談,30代子育て層,2024-09-18,5,1,8.0
L00042,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-08-23,5,1,6.0
L00043,073229,C0003,育児,子育て相談,30代子育て層,2024-11-19,5,1,8.4
L00044,073229,C0003,育児,保育所申込(窓口),30代子育て層,2024-07-04,5,1,7.3
L00045,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-08-01,5,1,8.3
L00046,073229,C0003,育児,子育て相談,30代子育て層,2024-09-20,5,1,6.2
L00047,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-11-26,5,1,8.3
L00048,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-11-05,5,1,7.9
L00049,073229,C0003,育児,保育所申込(窓口),30代子育て層,2024-11-17,5,1,7.8
L00050,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-11-02,5,1,8.3
L00051,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-11-16,5,1,8.1
L00052,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-08-27,5,1,8.3
L00053,073229,C0003,育児,子育て相談,30代子育て層,2024-12-27,5,1,6.1
L00054,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-12-22,5,1,7.4
L00055,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-11-13,5,1,6.9
L00056,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-07-20,5,1,6.5
L00057,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-08-31,5,1,7.3
L00058,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-12-12,5,1,5.7
L00059,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-07-12,5,1,8.1
L00060,073229,C0003,育児,子育て施設チェックイン,30代子育て層,2024-09-02,5,1,6.3
L00061,073229,C0003,教育,図書館利用,30代子育て層,2024-11-27,3,35,4.7
L00062,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-12-19,5,7,6.8
L00063,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-10-31,5,7,8.1
L00064,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-12-18,5,7,8.5
L00065,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-10-15,5,7,7.7
L00066,073229,C0004,育児,子育て相談,30代子育て層,2024-07-31,5,7,6.2
L00067,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-10-26,5,7,5.9
L00068,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-10-30,5,7,6.2
L00069,073229,C0004,育児,保育所申込(窓口),30代子育て層,2024-10-25,5,7,7.9
L00070,073229,C0004,育児,子育て相談,30代子育て層,2024-07-29,5,7,5.7
L00071,073229,C0004,育児,保育所申込(窓口),30代子育て層,2024-07-07,5,7,8.4
L00072,073229,C0004,育児,保育所申込(窓口),30代子育て層,2024-09-02,5,7,6.0
L00073,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-08-27,5,7,8.1
L00074,073229,C0004,育児,保育所申込(窓口),30代子育て層,2024-08-15,5,7,6.6
L00075,073229,C0004,育児,保育所申込(窓口),30代子育て層,2024-09-09,5,7,8.3
L00076,073229,C0004,育児,子育て相談,30代子育て層,2024-09-15,5,7,6.8
L00077,073229,C0004,育児,保育所申込(窓口),30代子育て層,2024-11-23,5,7,7.5
L00078,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-08-21,5,7,6.4
L00079,073229,C0004,育児,保育所申込(窓口),30代子育て層,2024-11-29,5,7,7.7
L00080,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-09-22,5,7,5.7
L00081,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-11-09,5,7,8.3
L00082,073229,C0004,育児,子育て施設チェックイン,30代子育て層,2024-07-18,5,7,8.4
L00083,073229,C0004,教育,図書館利用,30代子育て層,2024-12-03,1,20,5.2
L00084,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-12-09,5,19,5.7
L00085,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-11-25,5,19,7.1
L00086,073229,C0005,育児,保育所申込(窓口),30代子育て層,2024-08-25,5,19,7.5
L00087,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-09-09,5,19,6.7
L00088,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-09-18,5,19,6.9
L00089,073229,C0005,育児,保育所申込(窓口),30代子育て層,2024-07-22,5,19,5.5
L00090,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-11-25,5,19,8.5
L00091,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-08-27,5,19,7.0
L00092,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-10-01,5,19,8.1
L00093,073229,C0005,育児,子育て相談,30代子育て層,2024-10-06,5,19,6.4
L00094,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-11-20,5,19,7.6
L00095,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-12-18,5,19,7.1
L00096,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-11-22,5,19,6.4
L00097,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-08-07,5,19,6.3
L00098,073229,C0005,育児,子育て相談,30代子育て層,2024-11-22,5,19,6.0
L00099,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-08-26,5,19,7.7
L00100,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-12-13,5,19,8.1
L00101,073229,C0005,育児,子育て施設チェックイン,30代子育て層,2024-09-06,5,19,8.2
L00102,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-09-27,5,9,7.8
L00103,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-09-09,5,9,6.0
L00104,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-12-31,5,9,6.8
L00105,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-07-23,5,9,8.3
L00106,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-08-11,5,9,7.1
L00107,073229,C0006,育児,子育て相談,30代子育て層,2024-11-30,5,9,7.2
L00108,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-07-14,5,9,6.4
L00109,073229,C0006,育児,子育て相談,30代子育て層,2024-07-14,5,9,8.2
L00110,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-09-05,5,9,7.5
L00111,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-11-24,5,9,8.2
L00112,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-12-09,5,9,7.7
L00113,073229,C0006,育児,保育所申込(窓口),30代子育て層,2024-09-02,5,9,8.1
L00114,073229,C0006,育児,保育所申込(窓口),30代子育て層,2024-08-18,5,9,8.1
L00115,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-09-27,5,9,7.8
L00116,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-12-22,5,9,8.1
L00117,073229,C0006,育児,子育て相談,30代子育て層,2024-09-10,5,9,6.0
L00118,073229,C0006,育児,子育て相談,30代子育て層,2024-10-09,5,9,8.1
L00119,073229,C0006,育児,子育て相談,30代子育て層,2024-08-29,5,9,6.1
L00120,073229,C0006,育児,保育所申込(窓口),30代子育て層,2024-10-01,5,9,6.4
L00121,073229,C0006,育児,子育て相談,30代子育て層,2024-08-31,5,9,6.2
L00122,073229,C0006,育児,子育て施設チェックイン,30代子育て層,2024-10-14,5,9,6.5
L00123,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-10-14,5,12,7.5
L00124,073229,C0007,育児,子育て相談,30代子育て層,2024-09-26,5,12,8.3
L00125,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-09-08,5,12,6.0
L00126,073229,C0007,育児,保育所申込(窓口),30代子育て層,2024-09-09,5,12,5.6
L00127,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-09-30,5,12,7.7
L00128,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-12-06,5,12,8.5
L00129,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-11-28,5,12,6.1
L00130,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-10-23,5,12,5.5
L00131,073229,C0007,育児,保育所申込(窓口),30代子育て層,2024-11-18,5,12,7.6
L00132,073229,C0007,育児,保育所申込(窓口),30代子育て層,2024-12-22,5,12,6.1
L00133,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-12-21,5,12,8.3
L00134,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-12-20,5,12,8.0
L00135,073229,C0007,育児,子育て相談,30代子育て層,2024-09-18,5,12,7.0
L00136,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-09-25,5,12,6.7
L00137,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-08-05,5,12,6.1
L00138,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-10-09,5,12,7.5
L00139,073229,C0007,育児,保育所申込(窓口),30代子育て層,2024-12-08,5,12,7.2
L00140,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-07-04,5,12,6.4
L00141,073229,C0007,育児,子育て施設チェックイン,30代子育て層,2024-11-29,5,12,7.3
L00142,073229,C0007,教育,図書館利用,30代子育て層,2024-12-23,1,37,5.4
L00143,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-12-20,5,3,7.4
L00144,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-09-02,5,3,7.5
L00145,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-08-23,5,3,5.9
L00146,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-11-02,5,3,7.3
L00147,073229,C0008,育児,子育て相談,30代子育て層,2024-10-28,5,3,6.7
L00148,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-08-22,5,3,7.7
L00149,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-10-14,5,3,6.2
L00150,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-07-05,5,3,8.2
L00151,073229,C0008,育児,子育て相談,30代子育て層,2024-07-31,5,3,7.8
L00152,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-12-29,5,3,7.1
L00153,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-09-05,5,3,8.3
L00154,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-08-07,5,3,7.9
L00155,073229,C0008,育児,子育て施設チェックイン,30代子育て層,2024-11-24,5,3,7.3
L00156,073229,C0008,育児,保育所申込(窓口),30代子育て層,2024-10-25,5,3,7.3
L00157,073229,C0008,育児,子育て相談,30代子育て層,2024-11-10,5,3,6.8
L00158,073229,C0008,育児,保育所申込(窓口),30代子育て層,2024-10-26,5,3,8.2
L00159,073229,C0008,育児,子育て相談,30代子育て層,2024-11-02,5,3,6.9
L00160,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-09-03,5,17,6.3
L00161,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-09-15,5,17,6.2
L00162,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-11-19,5,17,5.7
L00163,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-10-10,5,17,7.6
L00164,073229,C0009,育児,子育て相談,30代子育て層,2024-07-20,5,17,6.7
L00165,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-10-31,5,17,6.7
L00166,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-10-19,5,17,6.7
L00167,073229,C0009,育児,子育て相談,30代子育て層,2024-12-29,5,17,5.6
L00168,073229,C0009,育児,子育て相談,30代子育て層,2024-11-28,5,17,6.6
L00169,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-10-02,5,17,6.4
L00170,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-10-19,5,17,7.1
L00171,073229,C0009,育児,子育て相談,30代子育て層,2024-12-05,5,17,8.2
L00172,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-09-11,5,17,6.8
L00173,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-09-28,5,17,7.5
L00174,073229,C0009,育児,子育て相談,30代子育て層,2024-08-15,5,17,8.0
L00175,073229,C0009,育児,保育所申込(窓口),30代子育て層,2024-12-10,5,17,7.1
L00176,073229,C0009,育児,保育所申込(窓口),30代子育て層,2024-12-02,5,17,7.2
L00177,073229,C0009,育児,子育て施設チェックイン,30代子育て層,2024-12-15,5,17,6.8
L00178,073229,C0009,育児,子育て相談,30代子育て層,2024-08-19,5,17,5.7
L00179,073229,C0009,教育,図書館利用,30代子育て層,2024-09-25,2,29,4.8
L00180,073229,C0010,育児,子育て相談,30代子育て層,2024-11-01,5,9,5.6
L00181,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-10-01,5,9,6.2
L00182,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-12-17,5,9,5.6
L00183,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-09-05,5,9,6.1
L00184,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-08-12,5,9,6.2
L00185,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-08-02,5,9,7.2
L00186,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-12-30,5,9,6.3
L00187,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-12-06,5,9,7.3
L00188,073229,C0010,育児,子育て相談,30代子育て層,2024-08-02,5,9,7.8
L00189,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-09-21,5,9,5.8
L00190,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-09-21,5,9,7.2
L00191,073229,C0010,育児,保育所申込(窓口),30代子育て層,2024-10-08,5,9,6.7
L00192,073229,C0010,育児,子育て相談,30代子育て層,2024-07-23,5,9,7.3
L00193,073229,C0010,育児,子育て相談,30代子育て層,2024-09-04,5,9,5.8
L00194,073229,C0010,育児,子育て相談,30代子育て層,2024-12-26,5,9,7.3
L00195,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-11-25,5,9,7.8
L00196,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-10-21,5,9,7.5
L00197,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-12-16,5,9,6.5
L00198,073229,C0010,育児,子育て相談,30代子育て層,2024-11-06,5,9,5.8
L00199,073229,C0010,育児,保育所申込(窓口),30代子育て層,2024-12-13,5,9,8.2
L00200,073229,C0010,育児,子育て施設チェックイン,30代子育て層,2024-08-12,5,9,6.8
L00201,073229,C0011,育児,子育て相談,30代子育て層,2024-11-18,5,20,7.8
L00202,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-12-02,5,20,6.3
L00203,073229,C0011,育児,子育て相談,30代子育て層,2024-07-26,5,20,6.3
L00204,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-10-30,5,20,7.2
L00205,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-09-28,5,20,5.6
L00206,073229,C0011,育児,子育て相談,30代子育て層,2024-08-19,5,20,7.0
L00207,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-09-08,5,20,6.5
L00208,073229,C0011,育児,子育て相談,30代子育て層,2024-12-30,5,20,8.1
L00209,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-11-13,5,20,8.3
L00210,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-10-16,5,20,7.0
L00211,073229,C0011,育児,子育て相談,30代子育て層,2024-12-27,5,20,6.9
L00212,073229,C0011,育児,子育て相談,30代子育て層,2024-10-26,5,20,7.9
L00213,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-08-29,5,20,6.7
L00214,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-12-20,5,20,7.2
L00215,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-11-16,5,20,6.5
L00216,073229,C0011,育児,保育所申込(窓口),30代子育て層,2024-11-21,5,20,6.5
L00217,073229,C0011,育児,子育て相談,30代子育て層,2024-09-11,5,20,6.4
L00218,073229,C0011,育児,子育て施設チェックイン,30代子育て層,2024-08-22,5,20,6.4
L00219,073229,C0011,育児,子育て相談,30代子育て層,2024-12-27,5,20,6.1
L00220,073229,C0011,教育,図書館利用,30代子育て層,2024-12-01,3,23,6.9
L00221,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-09-19,5,8,5.5
L00222,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-09-12,5,8,5.6
L00223,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-09-16,5,8,7.6
L00224,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-11-06,5,8,5.8
L00225,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-09-14,5,8,6.9
L00226,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-08-20,5,8,8.4
L00227,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-11-03,5,8,5.8
L00228,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-11-06,5,8,5.7
L00229,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-07-17,5,8,6.0
L00230,073229,C0012,育児,子育て相談,30代子育て層,2024-09-19,5,8,5.8
L00231,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-11-23,5,8,7.8
L00232,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-12-09,5,8,6.2
L00233,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-10-27,5,8,8.2
L00234,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-12-01,5,8,8.5
L00235,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-12-09,5,8,5.7
L00236,073229,C0012,育児,保育所申込(窓口),30代子育て層,2024-07-29,5,8,8.3
L00237,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-08-27,5,8,6.3
L00238,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-09-03,5,8,6.0
L00239,073229,C0012,育児,子育て施設チェックイン,30代子育て層,2024-07-04,5,8,6.7
L00240,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-09-14,5,8,7.6
L00241,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-12-26,5,8,6.2
L00242,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-12-11,5,8,7.3
L00243,073229,C0013,育児,子育て相談,30代子育て層,2024-08-23,5,8,6.8
L00244,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-12-16,5,8,5.9
L00245,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-08-09,5,8,5.7
L00246,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-09-20,5,8,7.3
L00247,073229,C0013,育児,子育て相談,30代子育て層,2024-09-15,5,8,6.8
L00248,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-09-19,5,8,7.6
L00249,073229,C0013,育児,保育所申込(窓口),30代子育て層,2024-11-09,5,8,7.1
L00250,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-12-04,5,8,5.6
L00251,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-09-24,5,8,7.3
L00252,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-08-31,5,8,8.4
L00253,073229,C0013,育児,子育て相談,30代子育て層,2024-11-28,5,8,7.3
L00254,073229,C0013,育児,子育て施設チェックイン,30代子育て層,2024-12-23,5,8,8.0
L00255,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-10-25,5,16,8.2
L00256,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-11-30,5,16,6.8
L00257,073229,C0014,育児,子育て相談,30代子育て層,2024-07-27,5,16,6.9
L00258,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-09-24,5,16,7.5
L00259,073229,C0014,育児,子育て相談,30代子育て層,2024-09-26,5,16,6.7
L00260,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-12-20,5,16,8.3
L00261,073229,C0014,育児,子育て相談,30代子育て層,2024-11-21,5,16,5.6
L00262,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-09-06,5,16,6.5
L00263,073229,C0014,育児,保育所申込(窓口),30代子育て層,2024-10-15,5,16,8.1
L00264,073229,C0014,育児,子育て相談,30代子育て層,2024-07-04,5,16,7.5
L00265,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-10-17,5,16,5.7
L00266,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-12-10,5,16,7.8
L00267,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-07-17,5,16,6.1
L00268,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-09-15,5,16,6.8
L00269,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-08-04,5,16,5.6
L00270,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-09-03,5,16,7.6
L00271,073229,C0014,育児,子育て施設チェックイン,30代子育て層,2024-07-07,5,16,7.2
L00272,073229,C0014,教育,学習支援参加,30代子育て層,2024-08-02,2,12,5.9
L00273,073229,C0015,育児,子育て相談,30代子育て層,2024-10-18,5,17,8.0
L00274,073229,C0015,育児,保育所申込(窓口),30代子育て層,2024-09-04,5,17,6.9
L00275,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-08-21,5,17,8.3
L00276,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-08-07,5,17,8.1
L00277,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-10-18,5,17,6.5
L00278,073229,C0015,育児,子育て相談,30代子育て層,2024-09-10,5,17,8.0
L00279,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-09-18,5,17,8.0
L00280,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-12-19,5,17,7.0
L00281,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-11-18,5,17,7.0
L00282,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-11-20,5,17,6.6
L00283,073229,C0015,育児,保育所申込(窓口),30代子育て層,2024-08-21,5,17,8.4
L00284,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-10-10,5,17,6.2
L00285,073229,C0015,育児,子育て相談,30代子育て層,2024-07-15,5,17,6.5
L00286,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-10-09,5,17,6.7
L00287,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-12-17,5,17,8.4
L00288,073229,C0015,育児,子育て施設チェックイン,30代子育て層,2024-07-13,5,17,5.9
L00289,073229,C0015,育児,保育所申込(窓口),30代子育て層,2024-09-26,5,17,8.1
L00290,073229,C0015,育児,子育て相談,30代子育て層,2024-10-24,5,17,5.8
L00291,073229,C0015,育児,保育所申込(窓口),30代子育て層,2024-07-07,5,17,7.7
L00292,073229,C0015,教育,図書館利用,30代子育て層,2024-08-12,1,35,6.3
L00293,073229,C0016,育児,子育て相談,30代子育て層,2024-12-23,5,3,8.1
L00294,073229,C0016,育児,子育て施設チェックイン,30代子育て層,2024-09-23,5,3,7.4
L00295,073229,C0016,育児,子育て相談,30代子育て層,2024-11-05,5,3,8.1
L00296,073229,C0016,育児,子育て施設チェックイン,30代子育て層,2024-07-21,5,3,6.2
L00297,073229,C0016,育児,子育て施設チェックイン,30代子育て層,2024-09-15,5,3,8.5
L00298,073229,C0016,育児,子育て相談,30代子育て層,2024-10-23,5,3,8.4
L00299,073229,C0016,育児,子育て相談,30代子育て層,2024-12-31,5,3,8.1
L00300,073229,C0016,育児,子育て施設チェックイン,30代子育て層,2024-12-28,5,3,6.4
L00301,073229,C0016,育児,子育て施設チェックイン,30代子育て層,2024-09-25,5,3,7.9
L00302,073229,C0016,育児,子育て施設チェックイン,30代子育て層,2024-10-07,5,3,6.8
L00303,073229,C0016,育児,子育て施設チェックイン,30代子育て層,2024-10-17,5,3,7.2
L00304,073229,C0016,育児,子育て相談,30代子育て層,2024-08-16,5,3,6.0
